country,happyness index score,gdp per capita, social support, healthy life expectancy, freedom to make life choices, generosity, perception of corruption, population
finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,5525487
denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,5814461
norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,5345599
iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,362860
netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,17357100
switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,8570146
sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,10302984
new zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,4941130
canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,37808300
austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,8877036
australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,25515200
costa rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,5058007
israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,9112400
luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,613894
ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,4921500
germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,83073100
belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,11492764
united states,6.892,1.433,1.457,0.874,0.454,0.28,0.128,330207000
czech republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,10668641
united arab emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,9770529
malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,493559
mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,126577691
france,6.592,1.324,1.472,1.045,0.436,0.111,0.183,67069000
taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,23593794
chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,19107216
guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,14901286
saudi arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,34218169
qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2747282
spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,46934632
panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,4218808
brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,210690000
uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,3518552
singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,5703600
el salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,6704864
italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,60262701
bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,1543300
slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,5450017
poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,38386000
uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,33820928
lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2793486
colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,48258494
slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2084301
nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,6460411
kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,1795666
argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,44938712
romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,19405156
cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,864200
ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,17358000
kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,4420110
thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,66432000
latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,1910400
south korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,51811167
estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,1324820
jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2726667
mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,1265985
japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,126140000
honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,9158345
kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,18584536
bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,11469896
hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,9772756
paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,7152703
northern cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,351965
peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,32131400
portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,10276617
pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,206613000
russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,146793744
philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,108495000
serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,6963764
moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2681735
libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,6777452
montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,622359
tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,9127000
croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,4130304
hong kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,7524100
dominican republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,10358320
bosnia and herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,3301000
turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,82003882
malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,32655200
belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,9456200
greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,10741165
mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,3286661
north macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2077132
nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,200963599
kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,6478500
turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,5942089
algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,43378027
morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,35715900
azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,10027874
lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,6855713
indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,266911900
china,5.191,1.029,1.125,0.893,0.521,0.058,0.1,1399910000
vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,96208984
bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,741672
cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,24348251
bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,7000039
ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,30280811
ivory coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,25823071
nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,29609623
jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,10543700
benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,11733059
gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2172579
laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,7123205
south africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,58775022
albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2862427
venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,32219521
cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,15288489
senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,16209125
somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,15442905
namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2458936
niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,22314743
burkina faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,20870060
armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2961600
iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,82932700
guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,12218357
georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,3723500
gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2347706
kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,47564296
mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,4077347
mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,28571310
tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,11551448
bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,167551000
iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,39127900
mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,19973000
sierra leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,7901454
sri lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,21803000
myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,54339766
chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,15692969
ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,41976189
ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,98665000
uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,40006700
egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,99576000
zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,17381168
togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,7538000
india,4.015,0.755,0.765,0.588,0.498,0.2,0.085,1354550000
liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,4475353
comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,873724
madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,25680342
lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,2007201
burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,10953317
zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,15159624
haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,11577779
botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2338851
syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,17070135
malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,17563749
yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,29161922
rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,12374397
tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,55890747
afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,32225560
central african republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,5496011
south sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,12778250
